SetNumber,URL,Description,Notes,DateAdded,DateRetrieved
"1831-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101178.pdf","MAERSK TRUCK TOWN","BUILDING INSTR. 1831 IN","2010-01-01","2017-06-28"
"1843-2","http://cache.lego.com/bigdownloads/buildinginstructions/4103888.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1858-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105467.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1865-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105528.pdf","INFLIGHT SKY HOPPER GA","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1869-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105479.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1955-1","http://cache.lego.com/bigdownloads/buildinginstructions/120691.pdf","COLOR LINE FERRY","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"2010-1","http://cache.lego.com/bigdownloads/buildinginstructions/4111737.pdf","Baby Walker","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"2063-1","http://cache.lego.com/bigdownloads/buildinginstructions/4620381.pdf","STORMER 2.0","BI 3010/24 - 2063","2011-01-01","2017-06-28"
"2064-1","http://cache.lego.com/bigdownloads/buildinginstructions/4511979.pdf","LEGO® Rescue Plane","BI 2064","2010-01-01","2017-06-28"
"2064-1","http://cache.lego.com/bigdownloads/buildinginstructions/4511980.pdf","Parts list and flyer","{No longer listed at LEGO.com}","2010-01-01",
"2065-1","http://cache.lego.com/bigdownloads/buildinginstructions/4620382.pdf","FURNO 2.0","BI 3010/24 - 2065","2011-01-01","2017-06-28"
"2067-1","http://cache.lego.com/bigdownloads/buildinginstructions/4620383.pdf","EVO 2.0","BI 3010/24 - 2067","2011-01-01","2017-06-28"
"2068-1","http://cache.lego.com/bigdownloads/buildinginstructions/4620384.pdf","NEX 2.0","BI 3010/24 - 2068","2011-01-01","2017-06-28"
"2111-1","http://cache.lego.com/bigdownloads/buildinginstructions/4618487.pdf","Kai","BI 2002/ 2 - 2111 V.39","2011-01-01","2017-06-28"
"2111-1","http://cache.lego.com/bigdownloads/buildinginstructions/4618486.pdf","Kai","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"2112-1","http://cache.lego.com/bigdownloads/buildinginstructions/4618488.pdf","Cole","BI 2002/ 2 - 2112 V.29","2011-01-01","2017-06-28"
"2112-1","http://cache.lego.com/bigdownloads/buildinginstructions/4618489.pdf","Cole","BI 2002/ 2 - 2112 V.39","2011-01-01","2017-06-28"
